ID,Sex,time,openness,agreeableness,reactivity,methodical,dominance,extraversion
1,1,t1,4.74,4.76,3.91,4.79,4.93,5.09
2,2,t1,5.49,4.63,3.69,5,4.37,4.46
3,2,t1,4.03,3.81,3.21,4.35,3.47,3.91
4,2,t1,4.55,4.85,3.87,4.97,3.66,4.68
5,1,t1,4.53,4.5,3.93,4.57,4.19,4.59
6,1,t1,3.88,3.75,3.44,4.35,3.84,4.25
7,2,t1,4.8,4.65,4.43,4.61,4.16,5.21
8,2,t1,4.63,3.22,3.28,4.39,3.8,4.02
9,2,t1,4.35,4.1,3.73,4.42,4.39,4.35
10,1,t1,5.05,4.4,4.53,4.62,4.57,5.19
11,1,t1,4.21,4.11,3.56,4.42,2.79,4.28
12,1,t1,4.96,4.17,3.89,4.63,4.8,5.01
13,1,t1,5.32,3.92,4.46,4.55,4.41,5.7
14,2,t1,4.63,4.34,3.73,4.4,4.06,4.73
15,1,t1,5.63,3.67,4.66,5.42,4.86,4.58
16,1,t1,3.97,4.22,3.6,3.58,4.42,4.77
17,2,t1,5.82,4.8,3.65,5.3,3.9,5.04
18,2,t1,4.56,4.06,4.46,4.5,3.37,5.3
19,1,t1,4.67,4.5,3.67,4.33,4.02,5.28
20,1,t1,4.72,4.6,3.6,4.7,5.09,5.02
21,1,t1,4.62,4.3,4.14,4.55,4.39,4.92
22,2,t1,4.48,4.75,3.58,4.68,4.02,4.7
23,2,t1,3.11,4.93,4.98,4.98,4.96,4.66
24,1,t1,4.46,4.34,4.62,5.07,4.88,5.06
25,1,t1,4.57,4.89,4.12,5.22,4.45,5
26,2,t1,5.31,4.27,3.82,4.65,3.9,5.35
27,2,t1,4.47,5.05,3.66,4.68,4.16,4.89
28,2,t1,4.26,4.64,3.59,4.42,3.59,4.73
29,1,t1,4.07,3.45,4.28,3.9,4.07,4.63
30,2,t1,4.49,3.89,3.17,4.62,3.14,4.08
31,1,t1,5.09,3.69,4.55,4.5,4.69,4.85
32,2,t1,4.63,4.22,3.52,4.42,3.42,3.72
33,2,t1,4.63,4.32,3.69,4.39,3.14,4.92
34,2,t1,4.32,4.5,3.5,4.67,3.35,4.51
35,2,t1,4.47,4.33,3.73,4.4,3.2,4.56
36,1,t1,5.03,4.66,4.43,5.08,4.8,5.47
37,1,t1,5.29,4.49,3.91,4.36,4.48,5.13
38,2,t1,4.77,4.39,4.32,4.7,4.05,4.86
39,1,t1,5.79,4.53,3.58,4.78,4.87,5.29
40,2,t1,4.93,4.6,2.96,5.3,3.8,5.37
41,1,t1,4.86,3.79,4.22,4.86,4.27,4.96
42,1,t1,4.94,4.76,3.87,4.83,4.01,5
43,2,t1,4.47,4.7,4.36,4.6,4.51,4.12
44,2,t1,4.33,4.87,4.45,3.9,4.74,4.12
45,2,t1,5.08,3.19,4.45,5.19,4.91,4.88
46,1,t1,5.68,4.45,2.96,5.28,5.24,5.2
47,1,t1,5.1,4.06,4.39,4.56,4.89,5.19
48,2,t1,5.37,4.67,3.14,4.86,3.78,4.1
49,1,t1,5.04,4.88,4.08,5,4.81,5.13
50,1,t1,4.07,3.45,3.79,3.9,3.69,3.72
1,1,t2,4.3,4.5,2.84,4.65,5.41,4.35
2,2,t2,5.59,5.28,3.01,5,3.99,4.87
3,2,t2,3.93,4.75,2.3,4.45,3.58,3.9
4,2,t2,4.75,5.1,2.41,4.1,4.5,4.27
5,1,t2,4.03,4,3.1,4.5,4.8,4.92
6,1,t2,3.75,3.4,2.91,4.2,4.45,3.83
7,2,t2,4.33,4.35,2.61,4.4,3.51,4.43
8,2,t2,4.02,4.2,2.71,4.45,3.3,3.9
9,2,t2,4.52,4.25,3.32,4.55,5.24,3.77
10,1,t2,4.55,3.9,3.09,4.45,4.69,4.78
11,1,t2,4.47,4.15,2.71,4.65,3.14,4.65
12,1,t2,4.33,3.7,4.04,4.05,5.24,4.53
13,1,t2,4.47,3.5,4.27,4.65,4.96,5.32
14,2,t2,4.95,4.75,3.11,4.05,4.79,4.4
15,1,t2,5.27,3.25,3.69,5.2,5.55,4.73
16,1,t2,3.98,2.8,4.43,4.2,5.34,4.6
17,2,t2,5.58,4.4,3.55,5.05,4,4.85
18,2,t2,4.43,3.95,3.39,4.15,3.01,4.85
