País,Estado,Sitio Estadíos,Estadio,Años,Pre-Post,Salida,COORDENADAS N,Coordenadas W,Altitud,GRUPO,ESPECIE,Fecha
México,Jalisco,Caiman15-17,15-17,17,Pre,1,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Diaglena spatulata,8/8/09
México,Jalisco,Caiman15-17,15-17,17,Pre,1,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Incilius marmoreus,8/8/09
México,Jalisco,Caiman15-17,15-17,17,Pre,1,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Incilius marmoreus,8/8/09
México,Jalisco,Caiman15-17,15-17,17,Pre,2,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Diaglena spatulata,10/10/09
México,Jalisco,Caiman15-17,15-17,17,Pre,2,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,Caiman15-17,15-17,17,Pre,2,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Incilius marmoreus,10/10/09
México,Jalisco,Caiman15-17,15-17,17,Pre,2,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Pachymedusa dacnicolor,10/11/09
México,Jalisco,Caiman15-17,15-17,17,Pre,3,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman15-17,15-17,17,Pre,4,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Diaglena spatulata,7/14/10
México,Jalisco,Caiman15-17,15-17,17,Pre,4,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman15-17,15-17,17,Pre,4,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman15-17,15-17,17,Pre,4,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Rhinella marina,7/14/10
México,Jalisco,Caiman15-17,15-17,17,Pre,5,"19°28'1.3""N","104°56'12.42""W",115,ANFIBIO,Craugastor occidentalis,10/6/10
